FL_DATE,CARRIER,FL_NUM,ORIGIN,ORIGIN_CITY_NAME,LAT,LONG,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,DEP_DEL15,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1/1/2015,AA,127,IAD,"Washington, DC",38.944533,-77.455811,VA,DFW,"Dallas/Fort Worth, TX",TX,625,622,0,0,14,636,856,16,855,912,17,17,0,0,210,230,1172,0,0,17,0,0
1/1/2015,AA,128,DFW,"Dallas/Fort Worth, TX",32.896828,-97.037997,TX,IAD,"Washington, DC",VA,2020,2152,92,1,38,2230,138,6,2355,144,109,109,0,0,155,172,1172,42,0,17,0,50
1/1/2015,AA,134,DCA,"Washington, DC",38.852083,-77.037722,VA,DFW,"Dallas/Fort Worth, TX",TX,1745,1733,0,0,12,1745,2001,9,2020,2010,-10,0,0,0,215,217,1192,,,,,
1/1/2015,AA,137,DCA,"Washington, DC",38.852083,-77.037722,VA,DFW,"Dallas/Fort Worth, TX",TX,730,728,0,0,12,740,954,10,1005,1004,-1,0,0,0,215,216,1192,,,,,
1/1/2015,AA,138,DFW,"Dallas/Fort Worth, TX",32.896828,-97.037997,TX,DCA,"Washington, DC",VA,1655,1712,17,1,12,1724,2029,4,2035,2033,-2,0,0,0,160,141,1192,,,,,
1/1/2015,AA,40,DCA,"Washington, DC",38.852083,-77.037722,VA,ORD,"Chicago, IL",IL,955,955,0,0,9,1004,1055,6,1105,1101,-4,0,0,0,130,126,612,,,,,
1/1/2015,AA,52,LAX,"Los Angeles, CA",33.942536,-118.408075,CA,DCA,"Washington, DC",VA,1225,1222,0,0,18,1240,1953,8,2015,2001,-14,0,0,0,290,279,2311,,,,,
1/1/2015,AA,53,DCA,"Washington, DC",38.852083,-77.037722,VA,LAX,"Los Angeles, CA",CA,840,838,0,0,12,850,1121,7,1140,1128,-12,0,0,0,360,350,2311,,,,,
1/1/2015,AA,75,IAD,"Washington, DC",38.944533,-77.455811,VA,LAX,"Los Angeles, CA",CA,1830,1822,0,0,17,1839,2114,6,2130,2120,-10,0,0,0,360,358,2288,,,,,
1/1/2015,AA,76,LAX,"Los Angeles, CA",33.942536,-118.408075,CA,IAD,"Washington, DC",VA,950,946,0,0,18,1004,1707,4,1735,1711,-24,0,0,0,285,265,2288,,,,,
1/1/2015,AA,97,DCA,"Washington, DC",38.852083,-77.037722,VA,DFW,"Dallas/Fort Worth, TX",TX,845,842,0,0,14,856,1101,11,1120,1112,-8,0,0,0,215,210,1192,,,,,
1/1/2015,AA,195,LAX,"Los Angeles, CA",33.942536,-118.408075,CA,IAD,"Washington, DC",VA,2305,2350,45,1,20,10,721,8,650,729,39,39,0,0,285,279,2288,39,0,0,0,0
1/1/2015,AA,322,DCA,"Washington, DC",38.852083,-77.037722,VA,ORD,"Chicago, IL",IL,1510,1536,26,1,9,1545,1631,7,1625,1638,13,13,0,0,135,122,612,,,,,
1/1/2015,AA,322,ORD,"Chicago, IL",41.978603,-87.904842,IL,DCA,"Washington, DC",VA,1140,1138,0,0,13,1151,1404,7,1420,1411,-9,0,0,0,100,93,612,,,,,
1/1/2015,AA,175,DCA,"Washington, DC",38.852083,-77.037722,VA,DFW,"Dallas/Fort Worth, TX",TX,600,,,,,,,,835,,,,1,0,215,,1192,,,,,
