ORIGIN,DEST,count
ABQ,MCO,78
ACY,FLL,873
ACY,MCO,863
ACY,PBI,169
ACY,RSW,526
ACY,TPA,404
ALB,FLL,635
ALB,MCO,1084
ALB,RSW,49
ALB,TPA,445
ATL,DAB,1639
ATL,ECP,2032
ATL,EYW,1584
ATL,FLL,7928
ATL,GNV,1474
ATL,JAX,5480
ATL,MCO,9072
ATL,MIA,5635
ATL,MLB,1497
ATL,PBI,4539
ATL,PNS,2506
ATL,RSW,3929
ATL,SRQ,2067
ATL,TLH,2079
ATL,TPA,7267
ATL,VPS,2241
AUS,ECP,10
AUS,FLL,1084
AUS,MCO,1191
AUS,MIA,51
AUS,PNS,10
AUS,TPA,424
BDL,FLL,1338
BDL,MCO,2074
BDL,MIA,359
BDL,PBI,379
BDL,RSW,566
BDL,TPA,1155
BHM,MCO,737
BHM,TPA,683
BNA,ECP,720
BNA,FLL,1584
BNA,JAX,957
BNA,MCO,1771
BNA,MIA,131
BNA,PNS,717
BNA,RSW,183
BNA,TPA,1327
BOS,FLL,2789
BOS,JAX,760
BOS,MCO,4280
BOS,MIA,2495
BOS,PBI,1876
BOS,RSW,2225
BOS,SRQ,240
BOS,TPA,2116
BUF,FLL,848
BUF,MCO,1577
BUF,MIA,10
BUF,RSW,122
BUF,TPA,616
BWI,ECP,176
BWI,FLL,5106
BWI,JAX,1239
BWI,MCO,4321
BWI,MIA,1019
BWI,PBI,1118
BWI,RSW,1721
BWI,TPA,3075
CAK,FLL,191
CAK,MCO,368
CAK,RSW,92
CAK,TPA,69
CHS,FLL,366
CID,MCO,7
CLE,FLL,855
CLE,MCO,1367
CLE,MIA,38
CLE,RSW,732
CLE,TPA,535
CLT,DAB,4
CLT,FLL,2486
CLT,JAX,1967
CLT,MCO,3459
CLT,MIA,2895
CLT,PBI,1770
CLT,PNS,57
CLT,RSW,1674
CLT,TPA,3167
CMH,FLL,321
CMH,MCO,1485
CMH,RSW,651
CMH,TPA,785
COS,MCO,363
COS,RSW,38
COS,TPA,50
CVG,FLL,440
CVG,MCO,1165
CVG,MIA,38
CVG,RSW,459
CVG,TPA,420
DAB,ATL,1639
DAB,CLT,4
DAB,JFK,365
DAL,ECP,262
DAL,FLL,751
DAL,JAX,46
DAL,MCO,1237
DAL,PNS,42
DAL,TPA,771
DAY,MCO,14
DAY,TPA,7
DCA,FLL,2882
DCA,JAX,741
DCA,MCO,3900
DCA,MIA,3271
DCA,PBI,1027
DCA,RSW,784
DCA,TPA,2342
DEN,FLL,1515
DEN,JAX,372
DEN,MCO,3353
DEN,MIA,1460
DEN,PBI,62
DEN,PNS,21
DEN,RSW,309
DEN,TPA,2132
DFW,FLL,2683
DFW,JAX,1016
DFW,MCO,3858
DFW,MIA,3955
DFW,PBI,832
DFW,PNS,183
DFW,RSW,1020
DFW,TPA,2587
DFW,VPS,512
DSM,MCO,74
DTW,FLL,2924
DTW,JAX,2
DTW,MCO,3315
DTW,MIA,1872
DTW,PBI,361
DTW,RSW,1761
DTW,SRQ,61
DTW,TPA,2249
ECP,ATL,2032
ECP,AUS,10
ECP,BNA,720
ECP,BWI,176
ECP,DAL,262
ECP,HOU,404
ECP,IAH,657
ECP,MDW,10
ECP,STL,173
EGE,MIA,119
EWR,FLL,6189
EWR,JAX,521
EWR,MCO,7295
EWR,MIA,2888
EWR,PBI,3346
EWR,RSW,2108
EWR,SRQ,136
EWR,TPA,2710
EYW,ATL,1583
FLL,ACY,874
FLL,ALB,643
FLL,ATL,7927
FLL,AUS,1084
FLL,BDL,1340
FLL,BNA,1575
FLL,BOS,2790
FLL,BUF,848
FLL,BWI,5105
FLL,CAK,191
FLL,CHS,365
FLL,CLE,858
FLL,CLT,2485
FLL,CMH,321
FLL,CVG,440
FLL,DAL,753
FLL,DCA,2881
FLL,DEN,1496
FLL,DFW,2682
FLL,DTW,2924
FLL,EWR,6189
FLL,HOU,763
FLL,HPN,729
FLL,IAD,777
FLL,IAG,213
FLL,IAH,1946
FLL,IND,438
FLL,ISP,571
FLL,JAX,1089
FLL,JFK,4114
FLL,LAS,1095
FLL,LAX,1921
FLL,LBE,321
FLL,LGA,5280
FLL,LGB,243
FLL,MCI,434
FLL,MCO,1738
FLL,MDW,1392
FLL,MKE,233
FLL,MSP,656
FLL,MSY,1737
FLL,MYR,405
FLL,ORD,3256
FLL,ORH,365
FLL,PBG,230
FLL,PHL,2769
FLL,PHX,372
FLL,PIT,983
FLL,PVD,869
FLL,RDU,1034
FLL,RIC,565
FLL,SAN,311
FLL,SEA,451
FLL,SFO,1600
FLL,SJU,2941
FLL,SLC,99
FLL,STL,674
FLL,STT,299
FLL,SWF,365
FLL,SYR,168
FLL,TPA,2203
FLL,TTN,140
FNT,MCO,36
FNT,RSW,16
FNT,TPA,23
GNV,ATL,1475
GRR,MCO,177
GRR,RSW,124
GRR,TPA,126
HOU,ECP,404
HOU,FLL,766
HOU,JAX,382
HOU,MCO,1584
HOU,PNS,368
HOU,TPA,1067
HPN,FLL,729
HPN,MCO,1213
HPN,PBI,1286
HPN,RSW,363
HPN,TPA,365
IAD,FLL,778
IAD,JAX,1
IAD,MCO,2154
IAD,MIA,598
IAD,TPA,1034
IAG,FLL,213
IAG,MCO,192
IAH,ECP,657
IAH,FLL,1938
IAH,JAX,567
IAH,MCO,2776
IAH,MIA,2396
IAH,PBI,172
IAH,PNS,1068
IAH,RSW,576
IAH,TPA,1981
IAH,VPS,828
IND,FLL,438
IND,MCO,1557
IND,RSW,852
IND,TPA,981
ISP,FLL,571
ISP,MCO,1320
ISP,MIA,127
ISP,PBI,827
ISP,RSW,89
ISP,TPA,600
JAX,ATL,5478
JAX,BNA,960
JAX,BOS,760
JAX,BWI,1237
JAX,CLT,1966
JAX,DAL,46
JAX,DCA,747
JAX,DEN,372
JAX,DFW,1016
JAX,DTW,1
JAX,EWR,556
JAX,FLL,1088
JAX,HOU,382
JAX,IAD,1
JAX,IAH,356
JAX,JFK,1071
JAX,LGA,3
JAX,MDW,365
JAX,MSP,175
JAX,ORD,271
JAX,PHL,286
JFK,DAB,365
JFK,FLL,4119
JFK,JAX,1069
JFK,MCO,5176
JFK,MIA,3633
JFK,PBI,1765
JFK,RSW,1109
JFK,SRQ,365
JFK,TPA,2704
LAS,FLL,1092
LAS,MCO,1115
LAS,MIA,1393
LAS,TPA,1041
LAX,FLL,1917
LAX,MCO,3340
LAX,MIA,3127
LAX,TPA,399
LBE,FLL,320
LBE,MCO,356
LBE,RSW,76
LBE,TPA,85
LGA,FLL,5279
LGA,JAX,3
LGA,MCO,4072
LGA,MIA,6130
LGA,PBI,2797
LGA,RSW,389
LGA,SRQ,126
LGA,TPA,1791
LGB,FLL,244
LGB,MCO,1
MCI,FLL,434
MCI,MCO,1388
MCI,MIA,73
MCI,PNS,72
MCI,RSW,162
MCI,TPA,520
MCO,ABQ,78
MCO,ACY,862
MCO,ALB,1084
MCO,ATL,9067
MCO,AUS,1189
MCO,BDL,2074
MCO,BHM,738
MCO,BNA,1767
MCO,BOS,4283
MCO,BUF,1580
MCO,BWI,4321
MCO,CAK,366
MCO,CID,7
MCO,CLE,1366
MCO,CLT,3458
MCO,CMH,1488
MCO,COS,364
MCO,CVG,1166
MCO,DAL,1244
MCO,DAY,14
MCO,DCA,3900
MCO,DEN,3347
MCO,DFW,3859
MCO,DSM,74
MCO,DTW,3312
MCO,EWR,7314
MCO,FLL,1736
MCO,FNT,36
MCO,GRR,176
MCO,HOU,1586
MCO,HPN,1212
MCO,IAD,2156
MCO,IAG,192
MCO,IAH,2774
MCO,IND,1548
MCO,ISP,1324
MCO,JFK,5172
MCO,LAS,1113
MCO,LAX,3345
MCO,LBE,355
MCO,LGA,4076
MCO,MCI,1387
MCO,MDW,2871
MCO,MEM,532
MCO,MHT,760
MCO,MIA,3012
MCO,MKE,1520
MCO,MSN,72
MCO,MSP,2015
MCO,MSY,1695
MCO,OKC,51
MCO,OMA,198
MCO,ORD,4825
MCO,ORF,429
MCO,ORH,365
MCO,PBG,173
MCO,PDX,291
MCO,PHL,5025
MCO,PHX,1467
MCO,PIT,1863
MCO,PVD,2251
MCO,PWM,7
MCO,RDU,1171
MCO,RIC,762
MCO,ROC,411
MCO,SAN,980
MCO,SAT,555
MCO,SDF,425
MCO,SEA,903
MCO,SFO,1449
MCO,SJU,3996
MCO,SLC,1342
MCO,STL,1928
MCO,SWF,365
MCO,SYR,365
MCO,TTN,500
MCO,TYS,38
MDW,ECP,10
MDW,FLL,1392
MDW,JAX,365
MDW,MCO,2874
MDW,PBI,7
MDW,PNS,39
MDW,RSW,1241
MDW,TPA,1649
MEM,MCO,532
MEM,TPA,363
MHT,MCO,761
MHT,TPA,466
MIA,ATL,5635
MIA,AUS,50
MIA,BDL,359
MIA,BNA,132
MIA,BOS,2496
MIA,BUF,10
MIA,BWI,1018
MIA,CLE,38
MIA,CLT,2897
MIA,CVG,38
MIA,DCA,3273
MIA,DEN,1464
MIA,DFW,3918
MIA,DTW,1871
MIA,EGE,119
MIA,EWR,2872
MIA,IAD,597
MIA,IAH,2400
MIA,ISP,126
MIA,JFK,3632
MIA,LAS,1395
MIA,LAX,3129
MIA,LGA,6161
MIA,MCI,73
MIA,MCO,3013
MIA,MKE,88
MIA,MSP,760
MIA,MSY,952
MIA,ORD,4779
MIA,PHL,2399
MIA,PHX,1083
MIA,PVD,88
MIA,RDU,1100
MIA,SAN,599
MIA,SAT,336
MIA,SEA,463
MIA,SFO,1713
MIA,SJU,2308
MIA,SLC,294
MIA,STL,683
MIA,STT,1003
MIA,TPA,1891
MIA,TTN,42
MIA,TUL,52
MKE,FLL,233
MKE,MCO,1518
MKE,MIA,88
MKE,RSW,453
MKE,TPA,640
MLB,ATL,1496
MSN,MCO,72
MSP,FLL,657
MSP,JAX,174
MSP,MCO,2014
MSP,MIA,760
MSP,PBI,81
MSP,RSW,1127
MSP,TPA,1050
MSY,FLL,1727
MSY,MCO,1697
MSY,MIA,951
MSY,TPA,1141
MYR,FLL,403
OAK,FLL,1
OKC,MCO,51
OMA,MCO,198
OMA,RSW,17
