route,origin,destination,count,count_cancelled,count_diverted,TOTAL_CARRIER_DELAY,TOTAL_ARR_DELAY,TOTAL_LATE_AIRCRAFT_DELAY,TOTAL_NAS_DELAY,TOTAL_SECURITY_DELAY,TOTAL_WEATHER_DELAY,TOTAL_AVG_CARRIER_DELAY,TOTAL_AVG_ARR_DELAY,TOTAL_AVG_LATE_AIRCRAFT_DELAY,TOTAL_AVG_NAS_DELAY,TOTAL_AVG_SECURITY_DELAY,TOTAL_AVG_WEATHER_DELAY,AA_count,AS_count,B6_count,DL_count,EV_count,F9_count,MQ_count,OO_count,UA_count,US_count,VX_count,WN_count,AA_cancelled,AS_cancelled,B6_cancelled,DL_cancelled,EV_cancelled,F9_cancelled,MQ_cancelled,OO_cancelled,UA_cancelled,US_cancelled,VX_cancelled,WN_cancelled,AA_CARRIER_DELAY,AS_CARRIER_DELAY,B6_CARRIER_DELAY,DL_CARRIER_DELAY,EV_CARRIER_DELAY,F9_CARRIER_DELAY,MQ_CARRIER_DELAY,OO_CARRIER_DELAY,UA_CARRIER_DELAY,US_CARRIER_DELAY,VX_CARRIER_DELAY,WN_CARRIER_DELAY,AA_ARR_DELAY,AS_ARR_DELAY,B6_ARR_DELAY,DL_ARR_DELAY,EV_ARR_DELAY,F9_ARR_DELAY,MQ_ARR_DELAY,OO_ARR_DELAY,UA_ARR_DELAY,US_ARR_DELAY,VX_ARR_DELAY,WN_ARR_DELAY,AA_LATE_AIRCRAFT_DELAY,AS_LATE_AIRCRAFT_DELAY,B6_LATE_AIRCRAFT_DELAY,DL_LATE_AIRCRAFT_DELAY,EV_LATE_AIRCRAFT_DELAY,F9_LATE_AIRCRAFT_DELAY,MQ_LATE_AIRCRAFT_DELAY,OO_LATE_AIRCRAFT_DELAY,UA_LATE_AIRCRAFT_DELAY,US_LATE_AIRCRAFT_DELAY,VX_LATE_AIRCRAFT_DELAY,WN_LATE_AIRCRAFT_DELAY,AA_NAS_DELAY,AS_NAS_DELAY,B6_NAS_DELAY,DL_NAS_DELAY,EV_NAS_DELAY,F9_NAS_DELAY,MQ_NAS_DELAY,OO_NAS_DELAY,UA_NAS_DELAY,US_NAS_DELAY,VX_NAS_DELAY,WN_NAS_DELAY,AA_SECURITY_DELAY,AS_SECURITY_DELAY,B6_SECURITY_DELAY,DL_SECURITY_DELAY,EV_SECURITY_DELAY,F9_SECURITY_DELAY,MQ_SECURITY_DELAY,OO_SECURITY_DELAY,UA_SECURITY_DELAY,US_SECURITY_DELAY,VX_SECURITY_DELAY,WN_SECURITY_DELAY,AA_WEATHER_DELAY,AS_WEATHER_DELAY,B6_WEATHER_DELAY,DL_WEATHER_DELAY,EV_WEATHER_DELAY,F9_WEATHER_DELAY,MQ_WEATHER_DELAY,OO_WEATHER_DELAY,UA_WEATHER_DELAY,US_WEATHER_DELAY,VX_WEATHER_DELAY,WN_WEATHER_DELAY
ALB-IAD,ALB,IAD,3,0,0,3,2,2,2,2,0,0,19,29,8,0,0,,,,,3,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,19,,,,,,,,,,,,29,,,,,,,,,,,,8,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,
ATL-CHO,ATL,CHO,86,0,0,86,20,20,20,20,41,21.75,8.360465116,25.15,4,0,2.05,,,,24,62,,,,,,,,,,,0,0,,,,,,,,,,,4.25,26.125,,,,,,,,,,,3.416666667,10.27419355,,,,,,,,,,,25.5,25.0625,,,,,,,,,,,10.25,2.4375,,,,,,,,,,,0,0,,,,,,,,,,,10.25,0,,,,,,,
ATL-DCA,ATL,DCA,561,9,2,550,84,84,84,84,391,14.61904762,2.807272727,15.0952381,13.10714286,0,4.654761905,,,,386,,,,,,,,175,,,,1,,,,,,,,8,,,,16.24528302,,,,,,,,11.83870968,,,,1.736979167,,,,,,,,5.28313253,,,,11.0754717,,,,,,,,21.96774194,,,,17.05660377,,,,,,,,6.35483871,,,,0,,,,,,,,0,,,,7.094339623,,,,,,,,0.483870968
ATL-IAD,ATL,IAD,300,1,0,299,61,61,61,61,74,22.83606557,8.612040134,12.98360656,21.68852459,0,1.213114754,,,,185,90,25,,,,,,,,,,0,1,0,,,,,,,,,,13.61111111,27.35294118,24.22222222,,,,,,,,,,-1.183783784,22.73033708,30.84,,,,,,,,,,5,19,6.222222222,,,,,,,,,,7.722222222,19.44117647,58.11111111,,,,,,,,,,0,0,0,,,,,,,,,,4.055555556,0.029411765,0,,,,,,
ATL-ORF,ATL,ORF,190,0,0,190,17,17,17,17,37,22.94117647,-2.152631579,18.17647059,1.941176471,0,2.176470588,,,,187,3,,,,,,,,,,,0,0,,,,,,,,,,,19.1875,83,,,,,,,,,,,-2.604278075,26,,,,,,,,,,,18.6875,10,,,,,,,,,,,2.0625,0,,,,,,,,,,,0,0,,,,,,,,,,,2.3125,0,,,,,,,
ATL-PHF,ATL,PHF,137,0,2,135,25,25,25,25,0,13.28,3.807407407,15.76,5.64,0,0,,,,,137,,,,,,,,,,,,0,,,,,,,,,,,,13.28,,,,,,,,,,,,3.807407407,,,,,,,,,,,,15.76,,,,,,,,,,,,5.64,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,
ATL-RIC,ATL,RIC,310,0,0,310,46,46,46,46,183,23.30434783,2.161290323,10.56521739,14.17391304,0,3.97826087,,,,220,2,,,,,,,88,,,,0,0,,,,,,,0,,,,23.78571429,,,,,,,,22.55555556,,,,2.2,3.5,,,,,,,2.034090909,,,,6.678571429,,,,,,,,16.61111111,,,,22.53571429,,,,,,,,1.166666667,,,,0,,,,,,,,0,,,,6.535714286,,,,,,,,0
ATL-ROA,ATL,ROA,116,2,3,111,19,19,19,19,1,29.89473684,6.243243243,29.89473684,2.842105263,0,0.052631579,,,,27,89,,,,,,,,,,,0,2,,,,,,,,,,,3.25,37,,,,,,,,,,,9.038461538,5.388235294,,,,,,,,,,,55,23.2,,,,,,,,,,,6.25,1.933333333,,,,,,,,,,,0,0,,,,,,,,,,,0.25,0,,,,,,,
AUS-DCA,AUS,DCA,31,0,0,31,3,3,3,3,0,1,-5.258064516,11.66666667,15.33333333,0,0,,,,,,,,,,,,31,,,,,,,,,,,,0,,,,,,,,,,,,1,,,,,,,,,,,,-5.258064516,,,,,,,,,,,,11.66666667,,,,,,,,,,,,15.33333333,,,,,,,,,,,,0,,,,,,,,,,,,0
BDL-DCA,BDL,DCA,62,5,0,57,11,11,11,11,0,14.09090909,1.228070175,28.63636364,22.72727273,0,0,,,62,,,,,,,,,,,,5,,,,,,,,,,,,14.09090909,,,,,,,,,,,,1.228070175,,,,,,,,,,,,28.63636364,,,,,,,,,,,,22.72727273,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,
